SampleId,ActualYear,Normalization,Modality,OwnYearSimilarity,OtherYearSimilarity,SimilarityGap,OwnYearWin
15,1404,Raw,308 nm,0.8498796082706739,0.2634277183314241,0.5864518899392498,True
16,1404,Raw,308 nm,0.8628791449045823,0.26843743491918015,0.5944417099854021,True
17,1404,Raw,308 nm,0.9385564646052558,0.22295049115735066,0.7156059734479051,True
18,1404,Raw,308 nm,0.7020918101053649,0.29620466209623947,0.40588714800912545,True
19,1404,Raw,308 nm,0.8686105400596581,0.24851509748877618,0.6200954425708819,True
20,1394,Raw,308 nm,0.7703245733355434,0.17352381015663,0.5968007631789134,True
21,1404,Raw,308 nm,0.8594264567113341,0.2991486762795482,0.5602777804317859,True
22,1404,Raw,308 nm,0.9191153097282408,0.320599598416164,0.5985157113120769,True
23,1404,Raw,308 nm,0.822782515632938,0.18611987746411812,0.6366626381688198,True
24,1394,Raw,308 nm,0.6419177208143331,0.2398604729234714,0.40205724789086167,True
26,1394,Raw,308 nm,0.5818642965478107,0.36227042570789425,0.21959387083991644,True
27,1394,Raw,308 nm,0.3110454720322948,0.0580604049363331,0.25298506709596175,True
28,1394,Raw,308 nm,0.5628219851260917,0.131555220595652,0.4312667645304397,True
30,1404,Raw,308 nm,0.9242076119267668,0.25996205874015094,0.6642455531866158,True
31,1404,Raw,308 nm,0.9205857544504348,0.25981439927860545,0.6607713551718293,True
32,1404,Raw,308 nm,0.757452135377366,0.22072070438820307,0.5367314309891629,True
33,1404,Raw,308 nm,0.9011001842716577,0.2214569358905008,0.679643248381157,True
34,1394,Raw,308 nm,0.8219040968902733,0.26822586129137527,0.5536782355988981,True
36,1394,Raw,308 nm,0.8086223364807775,0.1467404613942652,0.6618818750865123,True
37,1394,Raw,308 nm,0.7865675987469589,0.14358073467618238,0.6429868640707765,True
38,1404,Raw,308 nm,0.6355966296291155,0.2518233484187728,0.38377328121034265,True
39,1394,Raw,308 nm,0.6480395992208869,0.14178369011236774,0.5062559091085193,True
40,1394,Raw,308 nm,0.6480395992208872,0.14178369011236766,0.5062559091085195,True
41,1404,Raw,308 nm,0.9434350235572077,0.26271675226334396,0.6807182712938638,True
42,1404,Raw,308 nm,0.9502232831880755,0.2898341059709013,0.6603891772171742,True
43,1404,Raw,308 nm,0.9101634708209851,0.2359438328595572,0.6742196379614279,True
44,1404,Raw,308 nm,0.9501178812914309,0.23571203112002506,0.7144058501714059,True
1,1394,Raw,440 nm,0.8119990704987566,0.04703398815138737,0.7649650823473693,True
3,1404,Raw,440 nm,0.6388753157345195,0.025883438527035188,0.6129918772074843,True
4,1394,Raw,440 nm,0.9923019527195213,0.03313482331062211,0.9591671294088991,True
5,1404,Raw,440 nm,0.9739786437580987,0.019831347050384363,0.9541472967077144,True
6,1404,Raw,440 nm,0.9432783425335248,0.023918153163426287,0.9193601893700986,True
7,1404,Raw,440 nm,0.9398289937087276,0.027330872162550247,0.9124981215461774,True
8,1404,Raw,440 nm,0.9579642143053512,0.01963606882832633,0.9383281454770248,True
9,1394,Raw,440 nm,0.9503317571477766,0.01790142823177979,0.9324303289159969,True
10,1394,Raw,440 nm,0.9490642387608158,0.02390395191651065,0.9251602868443052,True
11,1404,Raw,440 nm,0.9012856701385079,0.0209203708700436,0.8803652992684643,True
12,1404,Raw,440 nm,0.7184564968510758,0.019221454272485384,0.6992350425785905,True
13,1394,Raw,440 nm,0.9850466035355386,0.03102793924849277,0.9540186642870458,True
14,1404,Raw,440 nm,0.7601047886996799,0.02161625274735815,0.7384885359523218,True
15,1404,Raw,440 nm,0.664624499961701,0.025466627595664367,0.6391578723660367,True
16,1404,Raw,440 nm,0.7247628314205217,0.023811209823981466,0.7009516215965402,True
17,1404,Raw,440 nm,0.9556599430610395,0.01977828213209181,0.9358816609289478,True
18,1404,Raw,440 nm,0.7900025205390775,0.022997820514927388,0.7670047000241501,True
19,1404,Raw,440 nm,0.9494228808363603,0.021293893731947313,0.9281289871044129,True
20,1394,Raw,440 nm,0.9795132950464196,0.015183454062694095,0.9643298409837255,True
21,1404,Raw,440 nm,0.2552336900795305,0.06756543577399056,0.18766825430553996,True
22,1404,Raw,440 nm,0.8528325999423854,0.026807703714597685,0.8260248962277876,True
23,1404,Raw,440 nm,0.8961507143084794,0.018000452912672514,0.8781502613958069,True
24,1394,Raw,440 nm,0.8865667348364962,0.02356961829889838,0.8629971165375978,True
26,1394,Raw,440 nm,0.9277948350944898,0.023779982263934723,0.904014852830555,True
27,1394,Raw,440 nm,0.988968232711184,0.025768357276451954,0.963199875434732,True
28,1394,Raw,440 nm,0.9948551019160127,0.026838876429603267,0.9680162254864094,True
30,1404,Raw,440 nm,0.9161074042372039,0.021135022987133743,0.8949723812500702,True
31,1404,Raw,440 nm,0.8928745924170883,0.020126800725088122,0.8727477916920002,True
32,1404,Raw,440 nm,0.8553227072762809,0.022757176847737714,0.8325655304285432,True
33,1404,Raw,440 nm,0.8560864152170106,0.02346571500871032,0.8326207002083003,True
34,1394,Raw,440 nm,0.9836746876385931,0.0304371793066501,0.953237508331943,True
36,1394,Raw,440 nm,0.9951037471733223,0.023700131633451384,0.9714036155398709,True
37,1394,Raw,440 nm,0.9895444725809686,0.03052364346206652,0.9590208291189021,True
38,1404,Raw,440 nm,0.6692074354779997,0.02616829102558867,0.643039144452411,True
39,1394,Raw,440 nm,0.940644691183599,0.032744893970296604,0.9078997972133024,True
40,1394,Raw,440 nm,0.9762444276385268,0.029363194006627933,0.9468812336318989,True
41,1404,Raw,440 nm,0.9540788406698882,0.02175310668452187,0.9323257339853663,True
42,1404,Raw,440 nm,0.9781452484992226,0.020240079422574418,0.9579051690766481,True
43,1404,Raw,440 nm,0.9032484411385768,0.016914437924735206,0.8863340032138416,True
44,1404,Raw,440 nm,0.9188912936179491,0.017866381811354966,0.9010249118065942,True
1,1394,Raw,Combined,0.8211982032050062,0.05688991096194657,0.7643082922430596,True
3,1404,Raw,Combined,0.6573024204598796,0.0364963943868766,0.6208060260730031,True
4,1394,Raw,Combined,0.9886247058361463,0.04521901822392802,0.9434056876122182,True
5,1404,Raw,Combined,0.9699417848728699,0.030008477874768492,0.9399333069981014,True
6,1404,Raw,Combined,0.9373680036916988,0.03292916347600496,0.9044388402156939,True
7,1404,Raw,Combined,0.9367185755909124,0.039524563820889334,0.8971940117700231,True
8,1404,Raw,Combined,0.9454255559916749,0.02779172184083567,0.9176338341508392,True
9,1394,Raw,Combined,0.9460818464095277,0.032857354096952014,0.9132244923125757,True
10,1394,Raw,Combined,0.9478604837165819,0.03820862160931219,0.9096518621072698,True
11,1404,Raw,Combined,0.9056566458238585,0.031033995238827616,0.8746226505850309,True
12,1404,Raw,Combined,0.7178047430077305,0.027634393644950624,0.6901703493627799,True
13,1394,Raw,Combined,0.9789950286885333,0.04711087384821926,0.9318841548403141,True
14,1404,Raw,Combined,0.7650925788625439,0.0335038570996839,0.73158872176286,True
15,1404,Raw,Combined,0.6843388151372006,0.03643164187743522,0.6479071732597654,True
16,1404,Raw,Combined,0.7378194197156649,0.03471116382782959,0.7031082558878353,True
17,1404,Raw,Combined,0.9420001412783101,0.02989629338497984,0.9121038478933303,True
18,1404,Raw,Combined,0.789094763129374,0.03456868220622977,0.7545260809231442,True
19,1404,Raw,Combined,0.9419934395943442,0.03179560530329865,0.9101978342910456,True
20,1394,Raw,Combined,0.9738447112633022,0.02636713878829487,0.9474775724750073,True
21,1404,Raw,Combined,0.2986845197740064,0.07540162900444669,0.2232828907695597,True
22,1404,Raw,Combined,0.8624534735485331,0.037775089651382356,0.8246783838971508,True
23,1404,Raw,Combined,0.893057494783557,0.026070830851426977,0.86698666393213,True
24,1394,Raw,Combined,0.8896640548412752,0.03431408768941434,0.8553499671518608,True
26,1394,Raw,Combined,0.8961817889583628,0.0489399969567111,0.8472417920016516,True
27,1394,Raw,Combined,0.9747293554260462,0.030626521258496808,0.9441028341675494,True
28,1394,Raw,Combined,0.9763056656977026,0.037607304952491524,0.9386983607452111,True
30,1404,Raw,Combined,0.9141032838914206,0.029798274805769773,0.8843050090856508,True
31,1404,Raw,Combined,0.8963399098568041,0.030833533470919793,0.8655063763858843,True
32,1404,Raw,Combined,0.8514794402659889,0.030769739388162094,0.8207097008778268,True
33,1404,Raw,Combined,0.8567556232807128,0.031048280272857394,0.8257073430078553,True
34,1394,Raw,Combined,0.9722937487311203,0.04256468137963469,0.9297290673514856,True
36,1394,Raw,Combined,0.9915508046905458,0.02985302975569125,0.9616977749348545,True
37,1394,Raw,Combined,0.9785507143458942,0.03640931061120227,0.942141403734692,True
38,1404,Raw,Combined,0.6807556070641371,0.035385723775365203,0.6453698832887719,True
39,1394,Raw,Combined,0.9392431966072782,0.04051488395610211,0.898728312651176,True
40,1394,Raw,Combined,0.9731338769849247,0.03435033651111032,0.9387835404738144,True
41,1404,Raw,Combined,0.9497723289222754,0.03228501239260963,0.9174873165296658,True
42,1404,Raw,Combined,0.9730486670714447,0.031131107703869267,0.9419175593675754,True
43,1404,Raw,Combined,0.904819428349362,0.026622025001700928,0.878197403347661,True
44,1404,Raw,Combined,0.9228315764401558,0.027238054230881017,0.8955935222092748,True
1,1394,AreaNormalized,250 nm,0.965717834723465,0.013363693508410164,0.9523541412150548,True
3,1404,AreaNormalized,250 nm,0.7585350614683525,0.024355342133124652,0.7341797193352279,True
4,1394,AreaNormalized,250 nm,0.9946156670986931,0.002360463327558804,0.9922552037711343,True
5,1404,AreaNormalized,250 nm,0.9377342776726731,0.005676467595265739,0.9320578100774074,True
6,1404,AreaNormalized,250 nm,0.9451429983069117,0.006879654975382703,0.938263343331529,True
7,1404,AreaNormalized,250 nm,0.9153832030477357,0.013920581653922131,0.9014626213938135,True
8,1404,AreaNormalized,250 nm,0.9221196854626744,0.003200537896783589,0.9189191475658909,True
9,1394,AreaNormalized,250 nm,0.9653832962694682,0.0041252356643192165,0.961258060605149,True
10,1394,AreaNormalized,250 nm,0.9488147687309721,0.014767696686574351,0.9340470720443977,True
11,1404,AreaNormalized,250 nm,0.9403428488911413,0.016779647327751012,0.9235632015633902,True
12,1404,AreaNormalized,250 nm,0.742988460346957,0.002286794196310474,0.7407016661506465,True
13,1394,AreaNormalized,250 nm,0.9783215189311402,0.024378139206269626,0.9539433797248705,True
14,1404,AreaNormalized,250 nm,0.8377752716466382,0.02177044523385544,0.8160048264127828,True
15,1404,AreaNormalized,250 nm,0.7946067278149596,0.022189497005855582,0.772417230809104,True
16,1404,AreaNormalized,250 nm,0.8074966929687537,0.023621051379815232,0.7838756415889385,True
17,1404,AreaNormalized,250 nm,0.7057010085862732,0.019958831976887127,0.6857421766093861,True
18,1404,AreaNormalized,250 nm,0.93020376308151,0.013897614673594207,0.9163061484079158,True
19,1404,AreaNormalized,250 nm,0.9362534227799452,0.015501361394227168,0.920752061385718,True
20,1394,AreaNormalized,250 nm,0.9705157624804504,0.017715736839381657,0.9528000256410687,True
21,1404,AreaNormalized,250 nm,0.3138003928295285,0.042376556229643134,0.27142383659988534,True
22,1404,AreaNormalized,250 nm,0.9359884452558119,0.015834017933025763,0.9201544273227862,True
23,1404,AreaNormalized,250 nm,0.9461715386734503,0.00595362978187372,0.9402179088915765,True
24,1394,AreaNormalized,250 nm,0.9358610031240652,0.007970669120977361,0.9278903340030878,True
26,1394,AreaNormalized,250 nm,0.7297582836335719,0.020888705872986503,0.7088695777605853,True
27,1394,AreaNormalized,250 nm,0.9520337314408316,0.009385793193827157,0.9426479382470044,True
28,1394,AreaNormalized,250 nm,0.9596022195343478,0.01644888885226805,0.9431533306820797,True
30,1404,AreaNormalized,250 nm,0.9178174940094015,0.002694621075034538,0.915122872934367,True
31,1404,AreaNormalized,250 nm,0.9368487091210673,0.018470717686243303,0.918377991434824,True
32,1404,AreaNormalized,250 nm,0.9250452285724414,0.004316442333552673,0.9207287862388888,True
33,1404,AreaNormalized,250 nm,0.8355161565894077,0.002567706261185466,0.8329484503282222,True
34,1394,AreaNormalized,250 nm,0.9091871326923532,0.011629640268324163,0.897557492424029,True
36,1394,AreaNormalized,250 nm,0.9942134105312158,0.007147976831003636,0.9870654337002122,True
37,1394,AreaNormalized,250 nm,0.9043453708900596,0.0037020408183870593,0.9006433300716725,True
38,1404,AreaNormalized,250 nm,0.8838296381590974,0.00929142272054148,0.8745382154385559,True
39,1394,AreaNormalized,250 nm,0.9781108770265676,0.02104565287642413,0.9570652241501435,True
40,1394,AreaNormalized,250 nm,0.9870810537007496,0.012109566232933813,0.9749714874678158,True
41,1404,AreaNormalized,250 nm,0.910293308447869,0.006220590834250623,0.9040727176136184,True
42,1404,AreaNormalized,250 nm,0.933436548330014,0.004865129278164889,0.9285714190518491,True
43,1404,AreaNormalized,250 nm,0.9378892627494918,0.0030834452058701185,0.9348058175436217,True
44,1404,AreaNormalized,250 nm,0.9478049518289274,0.0025834339302760355,0.9452215178986514,True
1,1394,AreaNormalized,308 nm,0.8236079790539554,0.16854054506071853,0.655067433993237,True
3,1404,AreaNormalized,308 nm,0.8135196091484668,0.24881070314452758,0.5647089060039392,True
4,1394,AreaNormalized,308 nm,0.7481759516569112,0.2785917498446207,0.4695842018122905,True
5,1404,AreaNormalized,308 nm,0.9492734684290954,0.23498936607237828,0.7142841023567171,True
6,1404,AreaNormalized,308 nm,0.8746498098312413,0.2508067324588194,0.623843077372422,True
7,1404,AreaNormalized,308 nm,0.9346661216476041,0.39469101948892593,0.5399751021586782,True
8,1404,AreaNormalized,308 nm,0.8894852990278136,0.2220344748914719,0.6674508241363417,True
9,1394,AreaNormalized,308 nm,0.68454269182079,0.27564378657755756,0.4088989052432324,True
10,1394,AreaNormalized,308 nm,0.8440608188966157,0.2923717145433511,0.5516891043532646,True
11,1404,AreaNormalized,308 nm,0.9424322387995802,0.22853696437670137,0.7138952744228788,True
12,1404,AreaNormalized,308 nm,0.6700470048224868,0.2142982311139367,0.4557487737085501,True
13,1394,AreaNormalized,308 nm,0.8313558446343838,0.24515004525423037,0.5862057993801535,True
14,1404,AreaNormalized,308 nm,0.8008819941854683,0.28791737136566786,0.5129646228198005,True
15,1404,AreaNormalized,308 nm,0.8499302139735428,0.25161338690069285,0.59831682707285,True
16,1404,AreaNormalized,308 nm,0.8625317564423065,0.25635443110146383,0.6061773253408427,True
17,1404,AreaNormalized,308 nm,0.9332253869174336,0.20953071572408233,0.7236946711933513,True
18,1404,AreaNormalized,308 nm,0.7110881649622425,0.27978730144057123,0.43130086352167124,True
19,1404,AreaNormalized,308 nm,0.8669661927473726,0.23691537890350908,0.6300508138438635,True
20,1394,AreaNormalized,308 nm,0.7664004273483589,0.17166636287763648,0.5947340644707224,True
21,1404,AreaNormalized,308 nm,0.8681367868055195,0.2854262687169494,0.5827105180885701,True
22,1404,AreaNormalized,308 nm,0.923783638522282,0.306753200758826,0.6170304377634559,True
23,1404,AreaNormalized,308 nm,0.8122383629685421,0.17454905946062388,0.6376893035079183,True
24,1394,AreaNormalized,308 nm,0.6167786350590982,0.2422608731458391,0.37451776191325914,True
26,1394,AreaNormalized,308 nm,0.5509912906553041,0.3634407098043709,0.18755058085093318,True
27,1394,AreaNormalized,308 nm,0.302438324593106,0.058049521938718235,0.24438880265438775,True
28,1394,AreaNormalized,308 nm,0.5387262091745965,0.13027661842604663,0.4084495907485498,True
30,1404,AreaNormalized,308 nm,0.9283113395304294,0.24562939292024508,0.6826819466101843,True
31,1404,AreaNormalized,308 nm,0.9240760803393862,0.24572069066318497,0.6783553896762011,True
32,1404,AreaNormalized,308 nm,0.7614711196003341,0.20715784895818473,0.5543132706421494,True
33,1404,AreaNormalized,308 nm,0.9003420273487549,0.20724152063360207,0.6931005067151528,True
34,1394,AreaNormalized,308 nm,0.8341009330136168,0.2694293964764352,0.5646715365371815,True
36,1394,AreaNormalized,308 nm,0.8445302544137266,0.1457235080206223,0.6988067463931044,True
37,1394,AreaNormalized,308 nm,0.8300458272989502,0.14231225588078691,0.6877335714181633,True
38,1404,AreaNormalized,308 nm,0.6451238221419928,0.23659105160464686,0.40853277053734594,True
39,1394,AreaNormalized,308 nm,0.7048509518357121,0.14038572298559637,0.5644652288501157,True
40,1394,AreaNormalized,308 nm,0.7048509518357121,0.14038572298559637,0.5644652288501157,True
41,1404,AreaNormalized,308 nm,0.9377387293994777,0.2503408787267377,0.68739785067274,True
42,1404,AreaNormalized,308 nm,0.9516718986753449,0.27654168044218974,0.6751302182331551,True
43,1404,AreaNormalized,308 nm,0.9023002094471603,0.22267234891294052,0.6796278605342198,True
44,1404,AreaNormalized,308 nm,0.9453980298852139,0.22194239138365718,0.7234556385015567,True
1,1394,AreaNormalized,440 nm,0.8177844978693828,0.046153538190672284,0.7716309596787105,True
3,1404,AreaNormalized,440 nm,0.6355649499427504,0.025713533704214465,0.6098514162385359,True
4,1394,AreaNormalized,440 nm,0.9913251040492478,0.03286287682425486,0.958462227224993,True
5,1404,AreaNormalized,440 nm,0.9756251429915456,0.019609544897807533,0.956015598093738,True
6,1404,AreaNormalized,440 nm,0.945797949061592,0.02367160802343253,0.9221263410381595,True
7,1404,AreaNormalized,440 nm,0.9424588825612717,0.027126310124349646,0.9153325724369221,True
8,1404,AreaNormalized,440 nm,0.9602636909457986,0.019412453153042145,0.9408512377927564,True
9,1394,AreaNormalized,440 nm,0.9470716037678714,0.01778100063347978,0.9292906031343916,True
10,1394,AreaNormalized,440 nm,0.9460390382835152,0.023776776182163523,0.9222622621013516,True
11,1404,AreaNormalized,440 nm,0.9030928194228639,0.020674190667239713,0.8824186287556242,True
12,1404,AreaNormalized,440 nm,0.7163265514437567,0.01909124158964768,0.697235309854109,True
13,1394,AreaNormalized,440 nm,0.9838796938845767,0.030754930788937353,0.9531247630956394,True
14,1404,AreaNormalized,440 nm,0.7587716634984294,0.021421443351840774,0.7373502201465886,True
15,1404,AreaNormalized,440 nm,0.6615987123762082,0.025290514227914743,0.6363081981482934,True
16,1404,AreaNormalized,440 nm,0.7229810668765692,0.023597765315371416,0.6993833015611978,True
17,1404,AreaNormalized,440 nm,0.9575967339590983,0.01955954412275253,0.9380371898363458,True
18,1404,AreaNormalized,440 nm,0.7879178943037697,0.0229117231005443,0.7650061712032253,True
19,1404,AreaNormalized,440 nm,0.951727392302633,0.02103816726126507,0.930689225041368,True
20,1394,AreaNormalized,440 nm,0.9795215120406845,0.015053952279450247,0.9644675597612342,True
21,1404,AreaNormalized,440 nm,0.2482790606124785,0.0679696870344269,0.1803093735780516,True
22,1404,AreaNormalized,440 nm,0.8535409348297717,0.026554672799408117,0.8269862620303635,True
23,1404,AreaNormalized,440 nm,0.8976931416723969,0.017804499078035028,0.8798886425943618,True
24,1394,AreaNormalized,440 nm,0.8826346355339532,0.023430730202370964,0.8592039053315822,True
26,1394,AreaNormalized,440 nm,0.9315904725739096,0.023294806774935072,0.9082956657989745,True
27,1394,AreaNormalized,440 nm,0.9895474937404503,0.025289478150979487,0.9642580155894708,True
28,1394,AreaNormalized,440 nm,0.9946420158053777,0.026459549962209745,0.9681824658431679,True
30,1404,AreaNormalized,440 nm,0.916137290439727,0.020928896053374543,0.8952083943863525,True
31,1404,AreaNormalized,440 nm,0.8942922492045385,0.019900005751678575,0.8743922434528599,True
32,1404,AreaNormalized,440 nm,0.8550165046963429,0.022537328910685172,0.8324791757856578,True
33,1404,AreaNormalized,440 nm,0.8558068973101184,0.023274234018502427,0.8325326632916159,True
34,1394,AreaNormalized,440 nm,0.9848442050317694,0.029894561653894598,0.9549496433778748,True
36,1394,AreaNormalized,440 nm,0.9952648039359367,0.023358214421114347,0.9719065895148224,True
37,1394,AreaNormalized,440 nm,0.9879740034304748,0.030188971817694213,0.9577850316127806,True
38,1404,AreaNormalized,440 nm,0.6663695238460349,0.026097819019979877,0.640271704826055,True
39,1394,AreaNormalized,440 nm,0.9435574802155041,0.03213494492548122,0.9114225352900229,True
40,1394,AreaNormalized,440 nm,0.977654399035901,0.028885466245412744,0.9487689327904882,True
41,1404,AreaNormalized,440 nm,0.9555436093045495,0.021525982230114295,0.9340176270744353,True
42,1404,AreaNormalized,440 nm,0.9796420874128445,0.020017958120050847,0.9596241292927937,True
43,1404,AreaNormalized,440 nm,0.9047650261186697,0.016718729091803927,0.8880462970268658,True
44,1404,AreaNormalized,440 nm,0.9205287425312676,0.017673344539794616,0.902855397991473,True
1,1394,AreaNormalized,Combined,0.8562926259316648,0.05391983951412905,0.8023727864175357,True
3,1404,AreaNormalized,Combined,0.6843009421034806,0.046499319578470595,0.6378016225250099,True
4,1394,AreaNormalized,Combined,0.9613025533493007,0.058287210527812314,0.9030153428214884,True
5,1404,AreaNormalized,Combined,0.9611016506849571,0.0332534905420622,0.927848160142895,True
6,1404,AreaNormalized,Combined,0.9342796081101944,0.03464627123555496,0.8996333368746394,True
7,1404,AreaNormalized,Combined,0.9245214156658801,0.04439897134753633,0.8801224443183437,True
8,1404,AreaNormalized,Combined,0.9346418594363166,0.03257170331702168,0.902070156119295,True
9,1394,AreaNormalized,Combined,0.9366701772342844,0.038371083473763994,0.8982990937605204,True
10,1394,AreaNormalized,Combined,0.9403858685691217,0.047049283552056786,0.8933365850170649,True
11,1404,AreaNormalized,Combined,0.914346246672231,0.03839720635498731,0.8759490403172436,True
12,1404,AreaNormalized,Combined,0.7155298713973423,0.0279924261631724,0.6875374452341698,True
13,1394,AreaNormalized,Combined,0.9671438603025563,0.05446621434590561,0.9126776459566507,True
14,1404,AreaNormalized,Combined,0.7794149795520852,0.04797514007247286,0.7314398394796123,True
15,1404,AreaNormalized,Combined,0.7163601237736549,0.04642543584492352,0.6699346879287313,True
16,1404,AreaNormalized,Combined,0.7558024974723961,0.044834499325328805,0.7109679981470673,True
17,1404,AreaNormalized,Combined,0.8909396715122292,0.036956597374076985,0.8539830741381522,True
18,1404,AreaNormalized,Combined,0.8169871051473924,0.040914872661255076,0.7760722324861373,True
19,1404,AreaNormalized,Combined,0.9324363834994023,0.04013524158849376,0.8923011419109085,True
20,1394,AreaNormalized,Combined,0.960750845501706,0.03069381134424094,0.930057034157465,True
21,1404,AreaNormalized,Combined,0.3571529684596544,0.08172893116195107,0.2754240372977033,True
22,1404,AreaNormalized,Combined,0.883215778308518,0.04765131073441459,0.8355644675741034,True
23,1404,AreaNormalized,Combined,0.8996543879943566,0.02715072263093593,0.8725036653634206,True
24,1394,AreaNormalized,Combined,0.8772368855096032,0.04473876696928887,0.8324981185403143,True
26,1394,AreaNormalized,Combined,0.8370837601622787,0.059784898897065085,0.7772988612652136,True
27,1394,AreaNormalized,Combined,0.9110372150637143,0.024757958810786417,0.8862792562529278,True
28,1394,AreaNormalized,Combined,0.9417226906184009,0.03672065392680481,0.9050020366915961,True
30,1404,AreaNormalized,Combined,0.9134950987543663,0.03403924306737455,0.8794558556869918,True
31,1404,AreaNormalized,Combined,0.9050128833271527,0.04167322415678735,0.8633396591703654,True
32,1404,AreaNormalized,Combined,0.859082807726615,0.03417471239525759,0.8249080953313574,True
33,1404,AreaNormalized,Combined,0.8551084630293471,0.03277170110639342,0.8223367619229537,True
34,1394,AreaNormalized,Combined,0.9406192296201693,0.055379606216863636,0.8852396234033056,True
